hour_of_day,hour_of_day_12,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,total,
0,Midnight,5,1,1,1,1,1,5,2.14,
1,1am,2,0,0,0,0,0,1,0.43,
2,2am,1,0,0,0,0,0,0,0.14,
3,3am,0,0,0,0,0,0,0,0.00,
4,4am,0,0,0,0,0,0,0,0.00,
5,5am,0,0,0,0,0,0,0,0.00,
6,6am,0,7,9,9,9,6,0,5.71,
7,7am,0,21,25,24,24,19,1,16.29,
8,8am,2,28,36,35,33,26,7,23.86,
9,9am,6,22,28,28,27,23,12,20.86,
10,10am,12,21,24,25,24,24,18,21.14,
11,11am,18,21,23,25,25,26,23,23.00,
12,12pm,23,23,25,28,28,31,28,26.57,
13,1pm,24,23,25,28,28,32,28,26.86,
14,2pm,22,28,31,33,33,37,28,30.29,
15,3pm,21,33,37,40,41,44,28,34.86,
16,4pm,23,33,41,44,45,44,28,36.86,
17,5pm,23,32,42,45,47,41,28,36.86,
18,6pm,18,24,29,31,33,34,26,27.86,
19,7pm,15,15,18,20,21,26,24,19.86,
20,8pm,12,11,12,13,15,18,18,14.14,
21,9pm,8,9,11,11,13,16,15,11.86,
22,10pm,6,6,7,8,9,13,12,8.71,
23,11pm,4,2,3,4,5,9,10,5.29,
