X,Y,objectid,crn,arrival_tm,automobile_count,belted_death_count,belted_susp_serious_inj_count,bicycle_count,bicycle_death_count,bicycle_susp_serious_inj_count,bus_count,chldpas_death_count,chldpas_susp_serious_inj_count,collision_type,comm_veh_count,cons_zone_spd_lim,county,crash_month,crash_year,day_of_week,dec_latitude,dec_longitude,dispatch_tm,district,driver_count_16yr,driver_count_17yr,driver_count_18yr,driver_count_19yr,driver_count_20yr,driver_count_50_64yr,driver_count_65_74yr,driver_count_75plus,est_hrs_closed,fatal_count,heavy_truck_count,horse_buggy_count,hour_of_day,illumination,injury_count,intersection_related_x,intersect_type,lane_closed,latitude,ln_close_dir,location_type,longitude,max_severity_level,mcycle_death_count,mcycle_susp_serious_inj_count,motorcycle_count,municipality,nonmotr_count,nonmotr_death_count,nonmotr_susp_serious_inj_count,ntfy_hiwy_maint,ped_count,ped_death_count,ped_susp_serious_inj_count,person_count,police_agcy,possible_inj_count,rdwy_surf_type_cd,relation_to_road,roadway_cleared,road_condition,sch_bus_ind,sch_zone_ind,secondary_crash,small_truck_count,spec_juris_cd,susp_minor_inj_count,susp_serious_inj_count,suv_count,tcd_func_cd,tcd_type,tfc_detour_ind,time_of_day,total_units,tot_inj_count,unbelted_occ_count,unb_death_count,unb_susp_serious_inj_count,unk_inj_deg_count,unk_inj_per_count,urban_rural,van_count,vehicle_count,weather1,weather2,workers_pres,work_zone_ind,work_zone_loc,work_zone_type,wz_close_detour,wz_flagger,wz_law_offcr_ind,wz_ln_closure,wz_moving,wz_other,wz_shlder_mdn,wz_workers_inj_killed,aggressive_driving,alcohol_related,angle_crash,atv,atv_route,backup_congestion,backup_nonrecurring,backup_prior,bicycle,cell_phone,child_passenger,comm_vehicle,core_network,cross_median,curved_road,curve_dvr_error,deer_related,distracted,drinking_driver,driver_16yr,driver_17yr,driver_18yr,driver_19yr,driver_20yr,driver_50_64yr,driver_65_74yr,driver_75plus,drugged_driver,drug_related,fatal,fatal_or_susp_serious_inj,fatigue_asleep,federal_aid_route,fire_in_vehicle,hazardous_truck,hit_barrier,hit_bridge,hit_deer,hit_embankment,hit_fixed_object,hit_gdrail,hit_gdrail_end,hit_parked_vehicle,hit_pole,hit_roadway_equipment,hit_run,hit_temp_construction_barrier,hit_traffic_island,hit_tree_shrub,hit_utility_pole,horse_buggy,ho_oppdir_sdswp,hvy_truck_related,icy_road,illegal_drug_related,illumination_dark,impaired_driver,impaired_nonmotorist,injury,injury_or_fatal,intersection,intersection_related_y,interstate,lane_departure,left_turn,limit_65mph,limit_70mph,local_road,local_road_only,marijuana_drugged_driver,marijuana_related,mature_driver,mc_drinking_driver,motorcycle,multiple_vehicle,nhtsa_agg_driving,non_intersection,no_clearance,opioid_related,other_freeway_expressway,overturned,pedestrian,phantom_vehicle,possible_injury,property_damage_only,psp_reported,ramp,ramp_segment,ramp_terminal,rear_end,roundabout,running_red_lt,running_stop_sign,rural,school_bus,school_bus_related,school_bus_unit,school_zone,shldr_related,signalized_int,single_vehicle,snowmobile,snow_slush_road,speeding,speeding_related,speed_change_lane,state_road,stop_controlled_int,sudden_deer,suspected_minor_injury,suspected_serious_injury,sv_run_off_rd,tailgating,train,train_trolley,trolley,turnpike,unbelted,underage_drnk_drv,unlicensed,unsignalized_int,urban,vehicle_failure,vehicle_towed,vulnerable_road_user,vulnerable_road_user_fatal,wet_road,work_zone,young_driver
-8376535.959,4860532.439,1,2020007295,,4,0,0,0,0,0,0,0,0,2,0,,23,1,2020,6,39.962754,-75.247701,,6,0,0,0,0,0,0,1,0,,0,0,0,,,0,Y,0,,39 57:45.915,3,0,75 14:51.725,0,0,0,0,23111,0,0,0,N,0,0,0,4,23111,0,,1,1800,1,N,N,N,0,,0,0,0,,0,N,,4,0,0,0,0,0,0,2,0,4,,3,,N,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
-8379867.418,4862517.607,2,2020066105,1742,1,0,0,0,0,0,0,0,0,5,0,,23,8,2020,1,39.976421,-75.277628,1742,6,0,1,0,0,0,0,0,0,,0,0,0,,,3,N,2,,39 58:35.114,7,0,75 16:39.460,3,0,0,0,23103,0,0,0,N,0,0,0,4,23103,1,,1,1900,1,N,N,Y,0,,2,0,1,,0,Y,,2,3,0,0,0,0,0,2,0,2,,,,N,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1
-8380038.851,4862388.61,3,2020067671,,1,0,0,0,0,0,0,0,0,4,0,,23,8,2020,6,39.975533,-75.279168,1708,6,0,0,0,0,0,0,0,0,,0,0,0,,,1,N,0,,39 58:31.918,,7,75 16:45.004,3,0,0,0,23103,0,0,0,N,0,0,0,2,67301,0,,1,,1,N,N,N,0,,1,0,1,0,0,,,2,1,0,0,0,0,0,2,0,2,,3,,N,,,,,,,,,,,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
-8375669.114,4857235.209,4,2020086583,458,1,0,0,0,0,0,0,0,0,7,0,,23,10,2020,7,39.940048,-75.239914,458,6,0,0,0,0,0,0,0,0,,0,0,0,,,0,N,0,,39 56:24.171,,0,75 14:23.689,0,0,0,0,23427,0,0,0,N,0,0,0,1,23427,0,,5,,9,N,N,N,0,,0,0,0,,0,,,1,0,0,0,0,0,0,2,0,1,,,,N,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
-8378071.945,4848002.806,5,2021029069,2355,0,0,0,0,0,0,0,0,0,5,0,,23,3,2021,2,39.87643,-75.261499,2328,6,0,0,0,0,0,1,0,0,,0,0,0,,,0,N,0,,39 52:35.148,2,0,75 15:41.397,0,0,0,0,23109,0,0,0,N,0,0,0,2,23109,0,,1,1,1,N,N,N,1,,0,0,1,,0,N,,2,0,0,0,0,0,0,2,0,2,,3,,N,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
-8376588.502,4859743.827,6,2021043799,1341,0,0,1,0,0,0,0,0,0,2,0,,23,5,2021,5,39.957324,-75.248173,1341,6,0,0,0,0,0,0,1,0,,0,0,0,,,1,,2,,39 57:26.368,3,0,75 14:53.423,2,0,0,0,23111,0,0,0,N,0,0,0,2,23111,0,,3,1430,1,N,N,N,0,,0,1,2,0,0,N,,2,1,0,0,0,0,0,2,0,2,,3,,N,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
-8376534.066,4860532.148,7,2021104405,159,2,0,0,0,0,0,0,0,0,1,0,,23,10,2021,1,39.962752,-75.247684,159,6,0,0,0,0,0,0,0,0,,0,0,0,,,1,N,0,,39 57:45.907,4,0,75 14:51.662,3,0,0,0,23111,0,0,0,N,0,0,0,3,23111,0,,1,330,9,N,N,N,0,,1,0,1,,0,Y,,3,1,0,0,0,0,0,2,0,3,,7,,N,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
-8372787.496,4848033.123,8,2022037781,2158,1,0,0,0,0,0,0,0,0,5,0,,23,4,2022,5,39.876639,-75.214028,2152,6,0,0,0,0,1,0,0,0,,0,0,0,21,,1,N,0,,39 52:35.900,6,0,75 12:50.500,8,0,0,0,23109,0,0,0,N,0,0,0,2,23109,0,,1,2215,1,N,N,N,0,,0,0,1,,0,Y,2152,2,1,0,0,0,1,0,2,0,2,,3,,N,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
-8379865.971,4862506.711,9,2022075157,1409,2,0,0,0,0,0,0,0,0,4,0,,23,8,2022,3,39.976346,-75.277615,1405,6,0,0,0,0,0,0,1,1,,0,0,0,,,0,,2,,39 58:34.844,,0,75 16:39.414,0,0,0,0,23103,0,0,0,N,0,0,0,2,23103,0,,1,,1,N,N,N,0,,0,0,0,,3,,,2,0,0,0,0,0,0,2,0,2,,,,N,,,,,,,,,,,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
-8375824.07,4848980.09,10,2022113691,1550,1,0,0,0,0,0,0,0,0,4,0,,23,11,2022,3,39.883167,-75.241306,1538,6,0,0,0,0,0,2,0,0,,0,0,0,,,0,,3,,39 52:59.400,,0,75 14:28.700,0,0,0,0,23109,0,0,0,N,0,0,0,2,23109,0,,1,,1,N,N,N,0,,0,0,1,,0,N,,2,0,0,0,0,0,0,2,0,2,,98,,N,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
